,A-KJ721696,A-MW715611,A-MG181891,A-MG181770,A-PX211585,A-LC514474,A-LC514485,A-MZ546114,A-LC514496,A-KU550290,A-KX880416,A-KU550289,A-KU550287,A-PX211521,A-OP850499,A-OP850501,A-OP850500,A-OP850498,A-OP850496,A-LC105568,A-KJ752165,A-KC834699,A-PX211620,A-KJ919729,A-KC443360,A-KC443371,A-KC443226,A-HQ657142,A-LC169988,A-LC169977,A-KF716338,A-LC514507,A-LC514518,A-PP861551,A-PP861497,A-OP850495,A-KC443349,A-PX211583,A-LC228374,A-LC568992,A-LC477420,A-LC228341,A-LC569020,A-LC228352,A-LC569037,A-OP717489,A-OP717486,A-KJ721702,A-MN478872,A-MN478868,A-MN478860,A-MN478859,A-MN478813,A-KJ721706,B-KJ639027,B-KJ639016,B-PX211523,B-LC260235,B-LC260239,B-LC228330,B-LC228319,B-KU550288,B-MH569771,B-LC541984,B-MF997039,B-KU550286,B-KU870412,B-KU870390,B-LC469484,B-MH569767,B-MH704728,B-LC228308,B-MG670610,B-MG670618,B-MG670617,B-MG670614,B-MG670601,B-LC086729,B-LC086718,B-LC260233,B-KX880427,B-MH704729,B-LC751154,B-LC751124,B-KY616890,B-AB848006,B-MG599533,B-LC325462,B-KU059792,B-KU059781,B-KU059770,B-LC066643,B-MG599534,B-LC066665,B-LC066654,B-AB975603,B-AB975604,B-AB975573,B-AB975575,B-MH170024,B-MT732502,B-MT723921,B-LC169944,B-MT410499,B-LC386069,B-LC169966,B-LC169955,B-KC443459,B-KC443204,B-PX211600,B-KJ919794,B-LC086806,B-LC086784,B-LC086795,B-LC086740,B-PP861485,B-OP850494,B-PP861495,B-MN478949,B-KF716345,B-KF716344,B-MG670615,B-MG670612,B-LC105579,B-MG181660,B-KU356578,B-HQ641358,B-KC178807,B-KC442978,A-KR705205,B-KJ721700,B-KC443767,B-KC443635,B-KC443327,B-KC443011,B-KC178803,B-KC442967,B-KU248409,B-KU199274,B-KU248398
B-KU059770,97.32,96.57,96.57,96.57,96.48,96.48,96.40,96.40,96.57,96.31,96.40,96.40,96.40,96.31,96.31,96.31,96.31,96.31,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.98,95.98,97.07,96.23,96.23,96.31,95.90,95.90,95.90,95.98,95.98,96.98,96.19,96.15,96.15,96.15,96.31,96.23,96.23,96.23,96.82,96.65,96.57,96.98,96.98,96.98,96.98,96.98,96.90,98.99,99.25,99.16,99.25,99.16,99.33,99.33,99.33,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,99.66,99.66,99.83,99.75,99.75,99.83,99.83,99.92,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,99.65,99.65,99.74,99.74,97.57,98.49,98.49,98.66,98.58,98.58,98.66,98.74,98.91,98.83,98.62,98.99,98.74,98.91,98.83,98.83,97.91,97.99,97.82,97.99,97.82,97.91,97.91,97.99,98.07,98.24,98.58,98.49,98.66,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-LC066643,97.32,96.57,96.57,96.57,96.48,96.48,96.40,96.40,96.57,96.31,96.40,96.40,96.40,96.31,96.31,96.31,96.31,96.31,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.98,95.98,97.07,96.23,96.23,96.31,95.90,95.90,95.90,95.98,95.98,96.98,96.19,96.15,96.15,96.15,96.31,96.23,96.23,96.23,96.82,96.65,96.57,96.98,96.98,96.98,96.98,96.98,96.90,98.99,99.25,99.16,99.25,99.16,99.33,99.33,99.33,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,99.66,99.66,99.83,99.75,99.75,99.83,99.83,99.92,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,99.65,99.65,99.74,99.74,97.57,98.49,98.49,98.66,98.58,98.58,98.66,98.74,98.91,98.83,98.62,98.99,98.74,98.91,98.83,98.83,97.91,97.99,97.82,97.99,97.82,97.91,97.91,97.99,98.07,98.24,98.58,98.49,98.66,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-MG599534,97.32,96.57,96.57,96.57,96.48,96.48,96.40,96.40,96.57,96.31,96.40,96.40,96.40,96.31,96.31,96.31,96.31,96.31,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.98,95.98,97.07,96.23,96.23,96.31,95.90,95.90,95.90,95.98,95.98,96.98,96.19,96.15,96.15,96.15,96.31,96.23,96.23,96.23,96.82,96.65,96.57,96.98,96.98,96.98,96.98,96.98,96.90,98.99,99.25,99.16,99.25,99.16,99.33,99.33,99.33,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,99.66,99.66,99.83,99.75,99.75,99.83,99.83,99.92,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,99.65,99.65,99.74,99.74,97.57,98.49,98.49,98.66,98.58,98.58,98.66,98.74,98.91,98.83,98.62,98.99,98.74,98.91,98.83,98.83,97.91,97.99,97.82,97.99,97.82,97.91,97.91,97.99,98.07,98.24,98.58,98.49,98.66,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-LC066665,97.32,96.57,96.57,96.57,96.48,96.48,96.40,96.40,96.57,96.31,96.40,96.40,96.40,96.31,96.31,96.31,96.31,96.31,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.98,95.98,97.07,96.23,96.23,96.31,95.90,95.90,95.90,95.98,95.98,96.98,96.19,96.15,96.15,96.15,96.31,96.23,96.23,96.23,96.82,96.65,96.57,96.98,96.98,96.98,96.98,96.98,96.90,98.99,99.25,99.16,99.25,99.16,99.33,99.33,99.33,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,99.66,99.66,99.83,99.75,99.75,99.83,99.83,99.92,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,99.65,99.65,99.74,99.74,97.57,98.49,98.49,98.66,98.58,98.58,98.66,98.74,98.91,98.83,98.62,98.99,98.74,98.91,98.83,98.83,97.91,97.99,97.82,97.99,97.82,97.91,97.91,97.99,98.07,98.24,98.58,98.49,98.66,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-LC066654,97.32,96.57,96.57,96.57,96.48,96.48,96.40,96.40,96.57,96.31,96.40,96.40,96.40,96.31,96.31,96.31,96.31,96.31,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.98,95.98,97.07,96.23,96.23,96.31,95.90,95.90,95.90,95.98,95.98,96.98,96.19,96.15,96.15,96.15,96.31,96.23,96.23,96.23,96.82,96.65,96.57,96.98,96.98,96.98,96.98,96.98,96.90,98.99,99.25,99.16,99.25,99.16,99.33,99.33,99.33,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,99.66,99.66,99.83,99.75,99.75,99.83,99.83,99.92,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,99.65,99.65,99.74,99.74,97.57,98.49,98.49,98.66,98.58,98.58,98.66,98.74,98.91,98.83,98.62,98.99,98.74,98.91,98.83,98.83,97.91,97.99,97.82,97.99,97.82,97.91,97.91,97.99,98.07,98.24,98.58,98.49,98.66,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-AB975603,96.97,96.19,96.36,96.19,96.58,96.54,96.45,96.45,96.62,96.36,96.45,96.45,96.45,96.36,96.36,96.36,96.36,96.36,96.45,96.62,96.54,95.84,95.97,95.93,96.02,95.84,95.84,96.80,96.02,96.02,96.10,95.84,95.67,95.67,95.76,95.76,96.62,96.02,95.93,95.93,95.93,96.10,96.02,96.02,96.02,96.62,96.45,96.36,96.80,96.80,96.80,96.80,96.80,96.71,98.87,99.13,98.96,99.05,98.96,99.13,99.13,99.13,99.22,99.05,99.13,99.13,99.13,99.13,99.22,99.22,99.13,99.22,99.05,98.96,98.96,98.87,99.13,99.05,99.13,99.31,99.31,99.57,99.74,99.74,99.83,99.83,99.57,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,,99.65,99.74,99.74,97.23,98.10,98.10,98.27,98.18,98.18,98.27,98.35,98.53,98.44,98.27,98.61,98.35,98.53,98.44,98.44,97.58,97.66,97.49,97.66,97.49,97.58,97.92,97.84,97.84,97.92,98.27,98.27,98.44,98.01,98.00,98.01,98.35,98.44,98.44,98.18,98.44,98.44,98.35,98.53,98.44
B-AB975604,97.14,96.19,96.19,96.19,96.41,96.36,96.28,96.28,96.45,96.19,96.28,96.28,96.28,96.19,96.19,96.19,96.19,96.19,96.28,96.62,96.71,95.67,95.80,95.76,95.84,95.67,95.67,96.80,95.84,95.84,95.93,95.84,95.67,95.67,95.76,95.76,96.62,95.84,95.76,95.76,95.76,95.93,95.84,95.84,95.84,96.45,96.28,96.19,96.62,96.62,96.62,96.62,96.62,96.54,98.70,98.96,98.79,98.87,98.79,98.96,98.96,98.96,99.05,98.87,98.96,98.96,98.96,98.96,99.05,99.05,98.96,99.05,98.87,98.79,98.79,98.70,98.96,98.87,98.96,99.31,99.31,99.57,99.74,99.74,99.83,99.83,99.57,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,,99.74,99.74,97.23,98.10,98.10,98.27,98.18,98.18,98.27,98.35,98.53,98.44,98.27,98.61,98.35,98.53,98.44,98.44,97.58,97.66,97.49,97.66,97.49,97.58,97.75,97.84,97.84,97.92,98.27,98.27,98.27,98.01,98.00,98.01,98.35,98.44,98.44,98.18,98.44,98.44,98.35,98.53,98.44
B-AB975573,97.06,96.28,96.28,96.28,96.67,96.62,96.54,96.54,96.71,96.45,96.54,96.54,96.54,96.45,96.45,96.45,96.45,96.45,96.54,96.71,96.62,95.93,96.06,96.02,96.10,95.93,95.93,96.88,96.10,96.10,96.19,95.93,95.76,95.76,95.84,95.84,96.71,95.93,96.02,96.02,96.02,96.19,96.10,96.10,96.10,96.71,96.54,96.45,96.88,96.88,96.88,96.88,96.88,96.80,98.79,99.05,98.87,98.96,98.87,99.05,99.05,99.05,99.13,98.96,99.05,99.05,99.05,99.05,99.13,99.13,99.05,99.13,98.96,98.87,98.87,98.79,99.05,98.96,99.05,99.39,99.39,99.65,99.83,99.83,99.91,99.91,99.65,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,,99.83,97.32,98.18,98.18,98.35,98.27,98.27,98.35,98.44,98.61,98.53,98.35,98.70,98.44,98.61,98.53,98.53,97.66,97.75,97.58,97.75,97.58,97.66,97.84,97.92,97.92,98.01,98.35,98.35,98.35,98.10,98.09,98.10,98.44,98.53,98.53,98.27,98.53,98.53,98.44,98.61,98.53
B-AB975575,97.06,96.28,96.28,96.28,96.67,96.62,96.54,96.54,96.71,96.45,96.54,96.54,96.54,96.45,96.45,96.45,96.45,96.45,96.54,96.71,96.62,95.93,96.06,96.02,96.10,95.93,95.93,96.88,96.10,96.10,96.19,95.93,95.76,95.76,95.84,95.84,96.88,96.10,96.02,96.02,96.02,96.19,96.10,96.10,96.10,96.71,96.54,96.45,96.88,96.88,96.88,96.88,96.88,96.80,98.79,99.05,98.87,98.96,98.87,99.05,99.05,99.05,99.13,98.96,99.05,99.05,99.05,99.05,99.13,99.13,99.05,99.13,98.96,98.87,98.87,98.79,99.05,98.96,99.05,99.39,99.39,99.65,99.83,99.83,99.91,99.91,99.65,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.83,,97.32,98.18,98.18,98.35,98.27,98.27,98.35,98.44,98.61,98.53,98.35,98.70,98.44,98.61,98.53,98.53,97.66,97.75,97.58,97.75,97.58,97.66,97.84,97.92,97.92,98.01,98.35,98.35,98.35,98.10,98.09,98.27,98.44,98.53,98.53,98.27,98.53,98.53,98.44,98.61,98.53
B-MH170024,96.98,96.40,96.40,96.40,96.23,96.31,96.23,96.06,96.40,96.15,96.23,96.23,96.23,95.98,95.98,96.15,96.15,96.15,96.06,96.57,96.48,95.90,95.98,95.98,96.06,95.90,95.90,96.73,95.90,95.90,95.98,95.56,95.56,95.56,95.64,95.64,96.65,95.85,95.81,95.81,95.81,95.98,95.90,95.90,95.90,96.31,96.15,96.23,96.65,96.65,96.65,96.65,96.65,96.40,97.07,97.49,97.24,97.32,97.24,97.24,97.24,97.40,97.49,97.32,97.40,97.40,97.40,97.40,97.49,97.49,97.40,97.49,97.32,97.24,97.24,97.15,97.40,97.40,97.49,97.40,97.40,97.40,97.32,97.32,97.40,97.40,97.65,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.57,97.23,97.23,97.32,97.32,,98.07,98.07,98.07,98.16,98.16,98.07,98.16,97.99,97.91,98.03,98.41,98.16,98.32,98.24,98.24,97.32,97.40,97.40,97.57,97.49,97.57,97.49,97.57,97.99,97.82,98.07,97.99,98.16,97.91,97.98,97.91,98.32,98.41,98.41,98.07,98.49,98.32,98.24,98.41,98.32
B-MT732502,97.32,96.90,96.73,96.73,96.48,96.65,96.57,96.40,96.73,96.48,96.57,96.57,96.57,96.31,96.31,96.48,96.48,96.48,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.90,95.90,97.07,96.23,96.23,96.31,96.06,96.06,96.06,96.15,96.15,96.98,96.69,96.31,96.31,96.31,96.48,96.40,96.40,96.40,96.65,96.48,96.57,96.98,96.98,96.98,96.98,96.98,96.73,97.82,98.24,97.99,98.07,97.99,98.16,98.16,98.16,98.24,98.07,98.16,98.16,98.16,98.16,98.24,98.24,98.16,98.24,98.07,98.16,98.16,98.07,98.16,98.07,98.16,98.32,98.32,98.32,98.24,98.24,98.32,98.32,98.58,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.10,98.10,98.18,98.18,98.07,,99.66,99.66,99.75,99.75,99.66,99.75,99.08,98.99,99.12,99.50,99.25,99.25,99.33,99.33,98.07,98.16,97.99,97.99,97.82,97.91,98.07,98.16,98.07,98.24,98.58,98.49,98.49,98.49,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-MT723921,97.32,96.90,96.73,96.73,96.48,96.65,96.57,96.40,96.73,96.48,96.57,96.57,96.57,96.31,96.31,96.48,96.48,96.48,96.40,96.98,96.90,96.06,96.15,96.15,96.23,95.90,95.90,97.07,96.23,96.23,96.31,96.06,96.06,96.06,96.15,96.15,96.98,96.69,96.31,96.31,96.31,96.48,96.40,96.40,96.40,96.65,96.48,96.57,96.98,96.98,96.98,96.98,96.98,96.73,97.99,98.41,98.16,98.24,98.16,98.32,98.32,98.16,98.41,98.24,98.32,98.32,98.32,98.32,98.41,98.41,98.32,98.41,98.24,98.32,98.32,98.24,98.32,98.24,98.32,98.32,98.32,98.32,98.24,98.24,98.32,98.32,98.58,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.10,98.10,98.18,98.18,98.07,99.66,,99.66,99.75,99.75,99.66,99.75,98.91,98.83,99.12,99.50,99.25,99.25,99.33,99.33,98.07,98.16,97.99,97.99,97.82,97.91,98.07,98.16,98.07,98.24,98.58,98.49,98.49,98.32,98.32,98.32,98.74,98.83,98.83,98.41,98.74,98.74,98.66,98.83,98.74
B-LC169944,97.49,97.07,96.90,96.90,96.65,96.82,96.73,96.57,96.90,96.65,96.73,96.73,96.73,96.48,96.48,96.65,96.65,96.65,96.57,97.15,97.07,96.23,96.31,96.31,96.40,96.06,96.06,97.24,96.40,96.40,96.48,96.23,96.23,96.23,96.31,96.31,97.15,96.86,96.48,96.48,96.48,96.65,96.57,96.57,96.57,96.82,96.65,96.73,97.15,97.15,97.15,97.15,97.15,96.90,97.99,98.41,98.16,98.24,98.16,98.32,98.32,98.32,98.41,98.24,98.32,98.32,98.32,98.32,98.41,98.41,98.32,98.41,98.24,98.32,98.32,98.24,98.32,98.24,98.32,98.49,98.49,98.49,98.41,98.41,98.49,98.49,98.74,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.27,98.27,98.35,98.35,98.07,99.66,99.66,,99.75,99.75,99.83,99.92,99.08,98.99,99.29,99.66,99.41,99.41,99.50,99.50,98.24,98.32,98.16,98.16,97.99,98.07,98.24,98.32,98.24,98.41,98.74,98.66,98.66,98.49,98.49,98.49,98.91,98.99,98.99,98.58,98.91,98.91,98.83,98.99,98.91
B-MT410499,97.40,96.98,96.82,96.82,96.57,96.73,96.65,96.48,96.82,96.57,96.65,96.65,96.65,96.40,96.40,96.57,96.57,96.57,96.48,97.07,96.98,96.15,96.23,96.23,96.31,95.98,95.98,97.15,96.31,96.31,96.40,96.15,96.15,96.15,96.23,96.23,97.07,96.78,96.40,96.40,96.40,96.57,96.48,96.48,96.48,96.73,96.57,96.65,97.07,97.07,97.07,97.07,97.07,96.82,97.91,98.32,98.07,98.16,98.07,98.24,98.24,98.24,98.32,98.16,98.24,98.24,98.24,98.24,98.32,98.32,98.24,98.32,98.16,98.24,98.24,98.16,98.24,98.16,98.24,98.41,98.41,98.41,98.32,98.32,98.41,98.41,98.66,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.18,98.18,98.27,98.27,98.16,99.75,99.75,99.75,,99.83,99.75,99.83,98.99,98.91,99.20,99.58,99.33,99.33,99.41,99.41,98.16,98.24,98.07,98.07,97.91,97.99,98.16,98.24,98.16,98.32,98.66,98.58,98.58,98.41,98.40,98.41,98.83,98.91,98.91,98.49,98.83,98.83,98.74,98.91,98.83
B-LC386069,97.40,96.98,96.82,96.82,96.57,96.73,96.65,96.48,96.82,96.57,96.65,96.65,96.65,96.40,96.40,96.57,96.57,96.57,96.48,97.07,96.98,96.15,96.23,96.23,96.31,95.98,95.98,97.15,96.48,96.48,96.57,96.31,96.31,96.31,96.40,96.40,97.07,96.78,96.40,96.40,96.40,96.57,96.48,96.48,96.48,96.73,96.57,96.65,97.07,97.07,97.07,97.07,97.07,96.82,97.91,98.32,98.07,98.16,98.07,98.24,98.24,98.24,98.32,98.16,98.24,98.24,98.24,98.24,98.32,98.32,98.24,98.32,98.16,98.24,98.24,98.16,98.24,98.16,98.24,98.41,98.41,98.41,98.32,98.32,98.41,98.41,98.66,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.18,98.18,98.27,98.27,98.16,99.75,99.75,99.75,99.83,,99.75,99.83,98.99,98.91,99.20,99.58,99.33,99.33,99.41,99.41,98.16,98.24,98.07,98.07,97.91,97.99,98.16,98.24,98.24,98.32,98.66,98.58,98.58,98.41,98.40,98.41,98.83,98.91,98.91,98.49,98.83,98.83,98.74,98.91,98.83
B-LC169966,97.49,97.07,96.90,96.90,96.65,96.82,96.73,96.57,96.90,96.65,96.73,96.73,96.73,96.48,96.48,96.65,96.65,96.65,96.57,97.15,97.07,96.23,96.31,96.31,96.40,96.06,96.06,97.24,96.40,96.40,96.48,96.23,96.23,96.23,96.31,96.31,97.15,96.86,96.48,96.48,96.48,96.65,96.57,96.57,96.57,96.82,96.65,96.73,97.15,97.15,97.15,97.15,97.15,96.90,97.99,98.41,98.16,98.24,98.16,98.32,98.32,98.32,98.41,98.24,98.32,98.32,98.32,98.32,98.41,98.41,98.32,98.41,98.24,98.32,98.32,98.24,98.32,98.24,98.32,98.49,98.49,98.49,98.41,98.41,98.49,98.49,98.74,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.27,98.27,98.35,98.35,98.07,99.66,99.66,99.83,99.75,99.75,,99.92,99.08,98.99,99.29,99.66,99.41,99.41,99.50,99.50,98.24,98.32,98.16,98.16,97.99,98.07,98.24,98.32,98.24,98.41,98.74,98.66,98.66,98.49,98.49,98.49,98.91,98.99,98.99,98.58,98.91,98.91,98.83,98.99,98.91
B-LC169955,97.57,97.15,96.98,96.98,96.73,96.90,96.82,96.65,96.98,96.73,96.82,96.82,96.82,96.57,96.57,96.73,96.73,96.73,96.65,97.24,97.15,96.31,96.40,96.40,96.48,96.15,96.15,97.32,96.48,96.48,96.57,96.31,96.31,96.31,96.40,96.40,97.24,96.94,96.57,96.57,96.57,96.73,96.65,96.65,96.65,96.90,96.73,96.82,97.24,97.24,97.24,97.24,97.24,96.98,98.07,98.49,98.24,98.32,98.24,98.41,98.41,98.41,98.49,98.32,98.41,98.41,98.41,98.41,98.49,98.49,98.41,98.49,98.32,98.41,98.41,98.32,98.41,98.32,98.41,98.58,98.58,98.58,98.49,98.49,98.58,98.58,98.83,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.35,98.35,98.44,98.44,98.16,99.75,99.75,99.92,99.83,99.83,99.92,,99.16,99.08,99.37,99.75,99.50,99.50,99.58,99.58,98.32,98.41,98.24,98.24,98.07,98.16,98.32,98.41,98.32,98.49,98.83,98.74,98.74,98.58,98.57,98.58,98.99,99.08,99.08,98.66,98.99,98.99,98.91,99.08,98.99
B-KC443459,97.74,96.98,97.15,96.98,96.90,96.90,96.82,96.65,96.98,96.73,96.82,96.82,96.82,96.57,96.57,96.73,96.73,96.73,96.65,97.40,97.32,96.48,96.57,96.57,96.65,96.31,96.31,97.49,96.65,96.65,96.73,96.31,96.31,96.31,96.40,96.40,97.40,96.78,96.57,96.57,96.57,96.73,96.65,96.65,96.65,97.07,96.90,96.98,97.40,97.40,97.40,97.40,97.40,97.15,98.24,98.66,98.41,98.49,98.49,98.58,98.58,98.58,98.66,98.49,98.58,98.58,98.58,98.58,98.66,98.66,98.58,98.66,98.49,98.41,98.41,98.32,98.58,98.49,98.58,98.74,98.74,98.74,98.66,98.66,98.74,98.74,98.99,98.91,98.91,98.91,98.91,98.91,98.91,98.91,98.91,98.53,98.53,98.61,98.61,97.99,99.08,98.91,99.08,98.99,98.99,99.08,99.16,,99.92,99.04,99.41,99.16,99.33,99.25,99.25,98.49,98.58,98.41,98.74,98.24,98.32,98.49,98.58,98.49,98.83,98.99,98.91,98.91,98.91,98.91,98.74,99.16,99.25,99.25,98.83,99.16,99.16,99.08,99.25,99.16
B-KC443204,97.65,96.90,97.07,96.90,96.82,96.82,96.73,96.57,96.90,96.65,96.73,96.73,96.73,96.48,96.48,96.65,96.65,96.65,96.57,97.32,97.24,96.40,96.48,96.48,96.57,96.23,96.23,97.40,96.57,96.57,96.65,96.23,96.23,96.23,96.31,96.31,97.32,96.69,96.48,96.48,96.48,96.65,96.57,96.57,96.57,96.98,96.82,96.90,97.32,97.32,97.32,97.32,97.32,97.07,98.16,98.58,98.32,98.41,98.41,98.49,98.49,98.49,98.58,98.41,98.49,98.49,98.49,98.49,98.58,98.58,98.49,98.58,98.41,98.32,98.32,98.24,98.49,98.41,98.49,98.66,98.66,98.66,98.58,98.58,98.66,98.66,98.91,98.83,98.83,98.83,98.83,98.83,98.83,98.83,98.83,98.44,98.44,98.53,98.53,97.91,98.99,98.83,98.99,98.91,98.91,98.99,99.08,99.92,,98.95,99.33,99.08,99.25,99.16,99.16,98.41,98.49,98.32,98.66,98.16,98.24,98.41,98.49,98.41,98.74,98.91,98.83,98.83,98.83,98.82,98.66,99.08,99.16,99.16,98.74,99.08,99.08,98.99,99.16,99.08
B-PX211600,97.53,96.78,96.78,96.78,96.69,96.86,96.78,96.61,96.94,96.69,96.78,96.78,96.78,96.57,96.52,96.69,96.69,96.69,96.61,97.19,97.11,96.27,96.40,96.36,96.44,96.11,96.11,97.28,96.44,96.44,96.52,96.11,96.11,96.11,96.19,96.19,97.19,96.44,96.36,96.36,96.36,96.52,96.44,96.44,96.44,96.86,96.86,96.94,97.19,97.19,97.19,97.19,97.19,96.94,97.95,98.37,98.16,98.37,98.12,98.28,98.28,98.28,98.37,98.20,98.28,98.28,98.28,98.28,98.37,98.37,98.28,98.37,98.20,98.28,98.28,98.20,98.28,98.20,98.28,98.45,98.45,98.45,98.37,98.53,98.45,98.45,98.70,98.62,98.62,98.62,98.62,98.62,98.62,98.62,98.62,98.27,98.27,98.35,98.35,98.03,99.12,99.12,99.29,99.20,99.20,99.29,99.37,99.04,98.95,,99.62,99.71,99.71,99.79,99.79,98.03,98.12,97.95,98.12,97.95,98.03,98.03,98.12,98.20,98.37,98.70,98.62,98.62,98.45,98.45,98.45,98.87,98.95,98.95,98.53,98.87,98.87,98.79,98.95,98.87
B-KJ919794,97.82,97.07,97.07,97.07,96.98,97.15,97.07,96.90,97.24,96.98,97.07,97.07,97.07,96.82,96.82,96.98,96.98,96.98,96.90,97.49,97.40,96.57,96.65,96.65,96.73,96.40,96.40,97.57,96.73,96.73,96.82,96.40,96.40,96.40,96.48,96.48,97.49,96.69,96.65,96.65,96.65,96.82,96.73,96.73,96.73,97.15,96.98,97.07,97.49,97.49,97.49,97.49,97.49,97.24,98.32,98.74,98.49,98.58,98.49,98.66,98.66,98.66,98.74,98.58,98.66,98.66,98.66,98.66,98.74,98.74,98.66,98.74,98.58,98.49,98.49,98.41,98.66,98.58,98.66,98.83,98.83,98.83,98.74,98.74,98.83,98.83,99.08,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.61,98.61,98.70,98.70,98.41,99.50,99.50,99.66,99.58,99.58,99.66,99.75,99.41,99.33,99.62,,99.75,99.75,99.83,99.83,98.41,98.49,98.32,98.49,98.32,98.41,98.41,98.49,98.58,98.74,99.08,98.99,98.99,98.83,98.82,98.83,99.25,99.33,99.33,98.91,99.25,99.25,99.16,99.33,99.25
B-LC086806,97.57,96.82,96.82,96.82,96.73,96.90,96.82,96.65,96.98,96.73,96.82,96.82,96.82,96.57,96.57,96.73,96.73,96.73,96.65,97.24,97.15,96.31,96.40,96.40,96.48,96.31,96.31,97.32,96.48,96.48,96.57,96.15,96.15,96.15,96.23,96.23,97.24,96.44,96.40,96.40,96.40,96.57,96.48,96.48,96.48,96.90,96.90,96.98,97.24,97.24,97.24,97.24,97.24,96.98,98.07,98.49,98.24,98.49,98.24,98.41,98.41,98.41,98.49,98.32,98.41,98.41,98.41,98.41,98.49,98.49,98.41,98.49,98.32,98.41,98.41,98.32,98.41,98.32,98.41,98.58,98.58,98.58,98.49,98.66,98.58,98.58,98.83,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.74,98.35,98.35,98.44,98.44,98.16,99.25,99.25,99.41,99.33,99.33,99.41,99.50,99.16,99.08,99.71,99.75,,99.83,99.92,99.92,98.16,98.24,98.07,98.24,98.07,98.16,98.16,98.24,98.32,98.49,98.83,98.74,98.74,98.58,98.57,98.58,98.99,99.08,99.08,98.66,98.99,98.99,98.91,99.08,98.99
B-LC086784,97.74,96.98,96.98,96.98,96.90,97.07,96.98,96.82,97.15,96.90,96.98,96.98,96.98,96.73,96.73,96.90,96.90,96.90,96.82,97.40,97.32,96.48,96.57,96.57,96.65,96.31,96.31,97.49,96.65,96.65,96.73,96.31,96.31,96.31,96.40,96.40,97.40,96.61,96.57,96.57,96.57,96.73,96.65,96.65,96.65,97.07,97.07,97.15,97.40,97.40,97.40,97.40,97.40,97.15,98.24,98.66,98.41,98.66,98.41,98.58,98.58,98.58,98.66,98.49,98.58,98.58,98.58,98.58,98.66,98.66,98.58,98.66,98.49,98.58,98.58,98.49,98.58,98.49,98.58,98.74,98.74,98.74,98.66,98.83,98.74,98.74,98.99,98.91,98.91,98.91,98.91,98.91,98.91,98.91,98.91,98.53,98.53,98.61,98.61,98.32,99.25,99.25,99.41,99.33,99.33,99.41,99.50,99.33,99.25,99.71,99.75,99.83,,99.92,99.92,98.32,98.41,98.24,98.41,98.24,98.32,98.32,98.41,98.49,98.66,98.99,98.91,98.91,98.74,98.74,98.74,99.16,99.25,99.25,98.83,99.16,99.16,99.08,99.25,99.16
