,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
B-LC066661,86.44,86.78,86.75,86.75,86.69,86.72,96.34,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.90,96.81,96.50,96.53,96.78,96.78,96.03,97.52,97.54,97.31,97.40,97.40,97.40,97.37,96.84,97.34,97.18,97.28,99.10,99.16,99.07,99.10,98.92,98.98,99.01,99.13,99.20,99.26,99.10,99.16,99.26,99.26,99.32,99.10,98.75,98.73,98.73,99.13,99.01,99.04,99.04,99.10,98.99,99.35,99.35,99.32,99.20,99.26,98.86,98.92,98.98,99.23,99.16,99.16,99.16,99.23,99.38,99.26,99.26,99.26,99.66,99.63,99.66,99.57,99.63,99.69,99.69,99.69,99.69,99.69,99.69,99.69,99.72,,100.00,99.91,99.24,99.13,99.32,99.29,99.32,99.29,99.44,99.38,99.38,99.60,99.50,97.65,97.71,97.62,98.08,98.17,98.48,95.14,94.24,94.30,94.21,94.24,94.24,94.39,94.47,94.80,94.24,94.49,94.21,94.24,95.79,94.40,94.24,94.27,94.27,94.15,94.18,94.02,93.81,93.78,93.87,93.81,93.81,94.12,94.18,94.21,94.43
B-LC066650,86.44,86.78,86.75,86.75,86.69,86.72,96.34,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.90,96.81,96.50,96.53,96.78,96.78,96.03,97.52,97.54,97.31,97.40,97.40,97.40,97.37,96.84,97.34,97.18,97.28,99.10,99.16,99.07,99.10,98.92,98.98,99.01,99.13,99.20,99.26,99.10,99.16,99.26,99.26,99.32,99.10,98.75,98.73,98.73,99.13,99.01,99.04,99.04,99.10,98.99,99.35,99.35,99.32,99.20,99.26,98.86,98.92,98.98,99.23,99.16,99.16,99.16,99.23,99.38,99.26,99.26,99.26,99.66,99.63,99.66,99.57,99.63,99.69,99.69,99.69,99.69,99.69,99.69,99.69,99.72,100.00,,99.91,99.24,99.13,99.32,99.29,99.32,99.29,99.44,99.38,99.38,99.60,99.50,97.65,97.71,97.62,98.08,98.17,98.48,95.14,94.24,94.30,94.21,94.24,94.24,94.39,94.47,94.80,94.24,94.49,94.21,94.24,95.79,94.40,94.24,94.27,94.27,94.15,94.18,94.02,93.81,93.78,93.87,93.81,93.81,94.12,94.18,94.21,94.43
B-LC066639,86.41,86.75,86.72,86.72,86.66,86.69,96.34,97.62,96.97,97.03,97.06,97.12,97.12,97.09,97.09,97.12,97.09,96.87,96.78,96.47,96.50,96.75,96.75,96.03,97.49,97.51,97.28,97.37,97.37,97.37,97.34,96.81,97.31,97.15,97.24,99.07,99.13,99.04,99.07,98.89,98.95,98.98,99.10,99.16,99.23,99.07,99.13,99.23,99.23,99.29,99.07,98.72,98.70,98.70,99.10,98.98,99.01,99.01,99.07,98.96,99.32,99.32,99.29,99.16,99.23,98.83,98.89,98.95,99.20,99.13,99.13,99.13,99.20,99.35,99.23,99.23,99.23,99.63,99.60,99.63,99.54,99.60,99.66,99.66,99.66,99.66,99.66,99.66,99.66,99.69,99.91,99.91,,99.21,99.10,99.29,99.26,99.29,99.26,99.41,99.35,99.35,99.57,99.47,97.62,97.68,97.59,98.05,98.14,98.45,95.11,94.21,94.27,94.18,94.21,94.21,94.36,94.44,94.77,94.21,94.46,94.18,94.21,95.76,94.37,94.21,94.24,94.24,94.12,94.15,93.99,93.78,93.75,93.84,93.78,93.78,94.09,94.15,94.18,94.40
B-PX211080,86.61,86.80,86.76,86.76,86.76,86.80,96.23,97.35,96.83,96.95,96.98,96.98,96.98,96.95,96.95,96.98,96.95,96.64,96.55,96.30,96.33,96.49,96.49,95.84,97.20,97.24,97.01,97.11,97.11,97.11,97.07,96.55,97.11,96.95,97.04,98.81,98.87,98.75,98.78,98.59,98.65,98.68,98.81,98.87,98.93,98.78,98.84,98.93,98.93,98.99,98.84,98.47,98.50,98.50,98.78,98.65,98.68,98.68,98.75,98.70,99.06,99.06,99.02,98.90,98.96,99.13,99.15,99.15,99.40,99.33,99.33,99.33,98.96,99.06,98.93,98.93,98.93,99.02,98.99,99.09,99.24,99.30,99.30,99.30,99.33,99.30,99.27,99.27,99.27,99.30,99.24,99.24,99.21,,99.24,99.43,99.40,99.43,99.40,99.52,99.46,99.49,99.58,99.49,97.35,97.41,97.38,97.85,97.91,98.19,94.97,94.23,94.35,94.26,94.29,94.29,94.36,94.43,94.72,94.16,94.41,94.13,94.16,95.71,94.32,94.23,94.26,94.26,94.07,94.10,93.89,93.73,93.76,93.79,93.76,93.73,94.04,94.10,94.13,94.35
B-LC260250,86.53,86.97,86.93,86.93,86.93,86.97,96.03,97.28,96.63,96.69,96.72,96.78,96.78,96.75,96.75,96.84,96.81,96.56,96.47,96.13,96.16,96.38,96.38,95.64,97.15,97.17,96.93,97.03,97.03,97.03,97.00,96.47,96.97,96.81,96.90,98.67,98.73,98.64,98.67,98.48,98.54,98.58,98.70,98.76,98.82,98.73,98.73,98.89,98.89,98.89,98.67,98.25,98.42,98.42,98.64,98.51,98.54,98.54,98.61,98.59,98.92,98.92,98.89,98.76,98.82,98.86,98.92,98.98,99.23,99.16,99.16,99.16,98.92,99.01,98.89,98.89,98.89,98.92,98.89,98.98,99.13,99.20,99.20,99.20,99.20,99.20,99.16,99.16,99.16,99.20,99.13,99.13,99.10,99.24,,99.38,99.35,99.38,99.35,99.38,99.32,99.44,99.47,99.38,97.28,97.34,97.24,97.71,97.80,98.11,94.80,93.99,94.02,93.93,93.96,93.96,94.08,94.13,94.46,93.90,94.15,93.87,93.90,95.51,94.18,94.02,94.06,94.06,93.90,93.90,93.75,93.53,93.56,93.59,93.56,93.53,94.02,94.09,93.93,94.15
B-KU550264,86.41,86.87,86.84,86.84,86.84,86.87,96.23,97.52,96.87,96.93,96.97,97.03,97.03,97.00,97.00,97.03,97.00,96.69,96.59,96.32,96.35,96.63,96.63,95.93,97.40,97.41,97.18,97.28,97.28,97.28,97.24,96.66,97.24,97.09,97.18,98.85,98.92,98.82,98.85,98.67,98.73,98.76,98.95,98.95,99.01,98.85,98.92,99.01,99.01,99.07,98.85,98.50,98.54,98.54,98.89,98.76,98.79,98.79,98.85,98.75,99.10,99.10,99.07,98.95,99.01,99.05,99.10,99.16,99.41,99.35,99.35,99.35,99.04,99.13,99.01,99.01,99.01,99.10,99.07,99.16,99.32,99.38,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.32,99.32,99.29,99.43,99.38,,99.97,99.75,99.72,99.57,99.50,99.63,99.66,99.57,97.40,97.46,97.37,97.83,97.93,98.24,94.95,94.12,94.18,94.09,94.12,94.12,94.20,94.29,94.61,94.06,94.30,94.02,94.06,95.60,94.27,94.18,94.21,94.21,94.06,94.09,93.93,93.75,93.78,93.81,93.78,93.75,93.93,93.99,94.09,94.30
B-KU550262,86.44,86.90,86.87,86.87,86.87,86.90,96.23,97.49,96.84,96.90,96.93,97.00,97.00,96.97,96.97,97.00,96.97,96.66,96.56,96.28,96.32,96.59,96.59,95.93,97.37,97.38,97.15,97.24,97.24,97.24,97.21,96.63,97.21,97.06,97.15,98.82,98.89,98.79,98.82,98.64,98.70,98.73,98.92,98.92,98.98,98.82,98.89,98.98,98.98,99.04,98.82,98.47,98.51,98.51,98.85,98.73,98.76,98.76,98.82,98.72,99.07,99.07,99.04,98.92,98.98,99.02,99.07,99.13,99.38,99.32,99.32,99.32,99.01,99.10,98.98,98.98,98.98,99.07,99.04,99.13,99.29,99.35,99.35,99.35,99.35,99.35,99.32,99.32,99.32,99.35,99.29,99.29,99.26,99.40,99.35,99.97,,99.72,99.69,99.54,99.47,99.60,99.63,99.54,97.37,97.49,97.34,97.80,97.89,98.20,94.98,94.09,94.15,94.06,94.09,94.09,94.17,94.26,94.58,94.09,94.27,94.06,94.09,95.57,94.24,94.15,94.18,94.18,94.09,94.12,93.96,93.78,93.81,93.84,93.81,93.78,93.90,93.96,94.06,94.27
B-KU870407,86.41,86.87,86.84,86.84,86.84,86.87,96.17,97.40,96.81,96.87,96.90,96.97,96.97,96.93,96.93,96.97,96.93,96.63,96.53,96.25,96.28,96.56,96.56,95.90,97.40,97.35,97.12,97.21,97.21,97.21,97.18,96.66,97.15,97.00,97.09,98.85,98.92,98.82,98.85,98.67,98.73,98.76,98.89,98.95,99.01,98.85,98.92,99.01,99.01,99.07,98.85,98.50,98.54,98.54,98.89,98.76,98.79,98.79,98.85,98.75,99.10,99.10,99.07,98.95,99.01,99.05,99.10,99.16,99.41,99.35,99.35,99.35,99.04,99.13,99.01,99.01,99.01,99.10,99.07,99.16,99.32,99.38,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.32,99.32,99.29,99.43,99.38,99.75,99.72,,99.97,99.57,99.50,99.63,99.66,99.57,97.40,97.46,97.37,97.83,97.93,98.24,94.89,94.12,94.18,94.15,94.12,94.12,94.26,94.29,94.61,94.12,94.37,94.09,94.12,95.60,94.21,94.12,94.15,94.15,93.96,93.99,93.84,93.65,93.68,93.72,93.68,93.65,93.93,93.99,94.02,94.24
B-KU870385,86.38,86.84,86.81,86.81,86.81,86.84,96.13,97.37,96.78,96.84,96.87,96.93,96.93,96.90,96.90,96.93,96.90,96.59,96.50,96.22,96.25,96.53,96.53,95.87,97.37,97.32,97.09,97.18,97.18,97.18,97.15,96.63,97.12,96.97,97.06,98.82,98.89,98.79,98.82,98.64,98.70,98.73,98.85,98.92,98.98,98.82,98.89,98.98,98.98,99.04,98.82,98.47,98.51,98.51,98.85,98.73,98.76,98.76,98.82,98.72,99.07,99.07,99.04,98.92,98.98,99.02,99.07,99.13,99.38,99.32,99.32,99.32,99.01,99.10,98.98,98.98,98.98,99.07,99.04,99.13,99.29,99.35,99.35,99.35,99.35,99.35,99.32,99.32,99.32,99.35,99.29,99.29,99.26,99.40,99.35,99.72,99.69,99.97,,99.54,99.47,99.60,99.63,99.54,97.37,97.43,97.34,97.80,97.89,98.20,94.86,94.09,94.15,94.12,94.09,94.09,94.23,94.26,94.58,94.09,94.33,94.06,94.09,95.57,94.18,94.09,94.12,94.12,93.93,93.96,93.81,93.62,93.65,93.68,93.65,93.62,93.90,93.96,93.99,94.21
B-MH569748,86.38,86.78,86.75,86.75,86.75,86.78,96.27,97.52,96.87,96.93,96.97,97.03,97.03,97.00,97.00,97.03,97.00,96.75,96.66,96.44,96.53,96.69,96.69,95.97,97.46,97.48,97.24,97.34,97.34,97.34,97.31,96.78,97.28,97.12,97.21,98.98,99.04,98.95,98.98,98.79,98.85,98.89,99.01,99.07,99.13,98.98,99.04,99.13,99.13,99.20,98.98,98.65,98.67,98.67,98.95,98.82,98.85,98.85,98.92,98.87,99.23,99.23,99.20,99.07,99.13,99.14,99.16,99.23,99.47,99.41,99.41,99.41,99.10,99.26,99.13,99.13,99.13,99.23,99.20,99.29,99.44,99.50,99.50,99.50,99.50,99.50,99.47,99.47,99.47,99.50,99.44,99.44,99.41,99.52,99.38,99.57,99.54,99.57,99.54,,99.88,99.63,99.72,99.63,97.52,97.59,97.49,97.96,98.05,98.36,95.02,94.24,94.30,94.21,94.24,94.24,94.39,94.41,94.74,94.24,94.49,94.21,94.24,95.73,94.33,94.24,94.27,94.27,94.09,94.12,93.96,93.75,93.78,93.81,93.78,93.75,94.06,94.12,94.15,94.37
B-MH569747,86.38,86.78,86.75,86.75,86.75,86.78,96.23,97.46,96.81,96.87,96.90,96.97,96.97,96.93,96.93,96.97,96.93,96.69,96.59,96.32,96.41,96.63,96.63,95.93,97.40,97.41,97.18,97.28,97.28,97.28,97.24,96.72,97.21,97.06,97.15,98.92,98.98,98.89,98.92,98.73,98.79,98.82,98.95,99.01,99.07,98.92,98.98,99.07,99.07,99.13,98.92,98.59,98.61,98.61,98.89,98.76,98.79,98.79,98.85,98.81,99.16,99.16,99.13,99.01,99.07,99.08,99.10,99.16,99.41,99.35,99.35,99.35,99.04,99.20,99.07,99.07,99.07,99.16,99.13,99.23,99.38,99.44,99.44,99.44,99.44,99.44,99.41,99.41,99.41,99.44,99.38,99.38,99.35,99.46,99.32,99.50,99.47,99.50,99.47,99.88,,99.57,99.66,99.57,97.46,97.52,97.43,97.89,97.99,98.30,95.02,94.24,94.30,94.21,94.24,94.24,94.39,94.41,94.74,94.18,94.43,94.15,94.18,95.67,94.33,94.24,94.27,94.27,94.09,94.12,93.96,93.75,93.78,93.81,93.78,93.75,94.06,94.12,94.15,94.37
B-MF997035,86.41,86.87,86.84,86.84,86.84,86.87,96.20,97.46,96.81,96.87,96.90,96.97,96.97,96.93,96.93,96.97,96.93,96.69,96.59,96.32,96.35,96.56,96.56,95.87,97.34,97.35,97.12,97.21,97.21,97.21,97.18,96.66,97.15,97.00,97.09,98.92,98.98,98.89,98.92,98.73,98.79,98.82,98.95,99.01,99.07,98.92,98.98,99.07,99.07,99.13,98.98,98.50,98.61,98.61,98.89,98.76,98.79,98.79,98.85,98.81,99.16,99.16,99.13,99.01,99.07,99.11,99.16,99.23,99.47,99.41,99.41,99.41,99.10,99.20,99.07,99.07,99.07,99.16,99.13,99.23,99.38,99.44,99.44,99.44,99.44,99.44,99.41,99.41,99.41,99.44,99.38,99.38,99.35,99.49,99.44,99.63,99.60,99.63,99.60,99.63,99.57,,99.72,99.63,97.46,97.52,97.43,97.89,97.99,98.30,95.02,94.24,94.30,94.21,94.24,94.24,94.33,94.41,94.74,94.18,94.43,94.15,94.18,95.73,94.33,94.24,94.27,94.27,94.09,94.12,93.96,93.75,93.78,93.81,93.78,93.75,94.06,94.12,94.15,94.37
B-MH704718,86.53,86.87,86.84,86.84,86.84,86.87,96.37,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.90,96.81,96.53,96.56,96.78,96.78,96.06,97.55,97.57,97.34,97.43,97.43,97.43,97.40,96.87,97.37,97.21,97.31,99.13,99.20,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,98.72,98.82,98.82,99.10,98.98,99.01,99.01,99.07,99.02,99.38,99.38,99.35,99.23,99.29,99.20,99.26,99.32,99.57,99.50,99.50,99.50,99.32,99.41,99.29,99.29,99.29,99.38,99.35,99.44,99.60,99.66,99.66,99.66,99.66,99.66,99.63,99.63,99.63,99.66,99.60,99.60,99.57,99.58,99.47,99.66,99.63,99.66,99.63,99.72,99.66,99.72,,99.91,97.68,97.74,97.65,98.11,98.20,98.51,95.17,94.40,94.46,94.37,94.40,94.40,94.48,94.57,94.89,94.33,94.58,94.30,94.33,95.88,94.49,94.40,94.43,94.43,94.24,94.27,94.12,93.90,93.93,93.96,93.90,93.90,94.21,94.27,94.30,94.52
B-LC228304,86.44,86.78,86.75,86.75,86.75,86.78,96.30,97.59,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.09,97.06,96.81,96.72,96.44,96.47,96.69,96.69,95.97,97.46,97.48,97.24,97.34,97.34,97.34,97.31,96.84,97.28,97.12,97.21,99.04,99.10,99.01,99.04,98.85,98.92,98.95,99.07,99.13,99.20,99.04,99.10,99.20,99.20,99.26,99.04,98.62,98.73,98.73,99.01,98.89,98.92,98.92,98.98,98.93,99.29,99.29,99.26,99.13,99.20,99.11,99.16,99.23,99.47,99.41,99.41,99.41,99.23,99.32,99.20,99.20,99.20,99.29,99.26,99.35,99.50,99.57,99.57,99.57,99.57,99.57,99.54,99.54,99.54,99.57,99.50,99.50,99.47,99.49,99.38,99.57,99.54,99.57,99.54,99.63,99.57,99.63,99.91,,97.59,97.65,97.55,98.02,98.11,98.42,95.14,94.30,94.37,94.27,94.30,94.30,94.39,94.47,94.80,94.24,94.49,94.21,94.24,95.79,94.46,94.30,94.33,94.33,94.15,94.18,94.02,93.81,93.84,93.87,93.81,93.81,94.12,94.18,94.21,94.43
B-KC442974,86.01,86.35,86.32,86.32,86.28,86.38,96.97,97.89,97.43,97.49,97.52,97.52,97.59,97.55,97.55,97.62,97.59,97.31,97.15,96.93,96.97,97.00,97.00,96.29,97.68,97.85,97.68,97.77,97.77,97.77,97.74,97.09,97.65,97.49,97.59,97.62,97.68,97.52,97.55,97.55,97.62,97.65,97.65,97.65,97.71,97.62,97.74,97.71,97.71,97.65,97.49,97.32,97.80,97.80,97.77,97.65,97.68,97.74,97.74,97.91,98.24,98.24,98.20,97.96,97.96,97.16,97.18,97.24,97.49,97.37,97.37,97.37,97.43,97.62,97.49,97.49,97.49,97.43,97.40,97.49,97.71,97.77,97.77,97.77,97.77,97.77,97.74,97.74,97.74,97.77,97.65,97.65,97.62,97.35,97.28,97.40,97.37,97.40,97.37,97.52,97.46,97.46,97.68,97.59,,99.44,97.96,98.45,98.36,98.58,95.23,94.55,94.58,94.37,94.33,94.33,94.70,94.97,95.20,94.49,94.80,94.52,94.55,96.44,94.80,94.46,94.67,94.74,94.52,94.58,94.43,94.21,94.18,94.27,94.21,94.21,94.46,94.52,94.55,94.83
B-KC178768,86.07,86.47,86.44,86.44,86.41,86.50,97.14,98.08,97.55,97.62,97.65,97.65,97.71,97.68,97.68,97.80,97.77,97.43,97.28,97.12,97.15,97.18,97.18,96.52,97.86,98.03,97.80,97.89,97.89,97.89,97.86,97.28,97.83,97.68,97.77,97.68,97.74,97.59,97.62,97.62,97.68,97.71,97.71,97.71,97.77,97.62,97.80,97.77,97.77,97.71,97.55,97.38,97.93,97.93,97.83,97.71,97.74,97.74,97.80,98.03,98.36,98.36,98.33,98.02,98.02,97.22,97.31,97.37,97.55,97.43,97.43,97.43,97.55,97.74,97.62,97.62,97.62,97.49,97.46,97.55,97.77,97.83,97.83,97.83,97.83,97.83,97.80,97.80,97.80,97.83,97.71,97.71,97.68,97.41,97.34,97.46,97.49,97.46,97.43,97.59,97.52,97.52,97.74,97.65,99.44,,98.08,98.58,98.42,98.70,95.42,94.61,94.55,94.33,94.30,94.30,94.79,94.97,95.26,94.61,94.86,94.64,94.67,96.63,94.86,94.46,94.67,94.74,94.64,94.71,94.55,94.33,94.30,94.40,94.33,94.33,94.52,94.52,94.61,94.95
B-KU356574,85.91,86.35,86.32,86.32,86.25,86.32,97.07,97.86,97.21,97.28,97.31,97.31,97.37,97.34,97.34,97.40,97.37,97.12,96.97,96.87,96.90,96.90,96.90,96.22,97.68,97.82,97.59,97.68,97.68,97.68,97.65,97.03,97.46,97.31,97.40,97.52,97.59,97.43,97.46,97.40,97.46,97.49,97.49,97.55,97.62,97.46,97.65,97.62,97.62,97.74,97.52,97.29,97.93,97.86,97.77,97.59,97.62,97.62,97.68,97.94,98.24,98.24,98.20,97.83,97.89,97.10,97.06,97.15,97.28,97.21,97.21,97.21,97.34,97.52,97.52,97.52,97.52,97.40,97.37,97.46,97.62,97.68,97.68,97.68,97.68,97.68,97.65,97.65,97.65,97.68,97.62,97.62,97.59,97.38,97.24,97.37,97.34,97.37,97.34,97.49,97.43,97.43,97.65,97.55,97.96,98.08,,99.44,98.17,98.51,95.05,94.24,94.37,94.15,94.12,94.12,94.36,94.54,94.86,94.15,94.46,94.18,94.21,95.94,94.58,94.30,94.52,94.46,94.24,94.37,94.21,93.99,93.96,94.06,93.99,93.99,94.12,94.18,94.33,94.67
B-HQ641355,86.19,86.66,86.63,86.63,86.56,86.66,97.38,98.39,97.77,97.83,97.86,97.86,97.93,97.89,97.89,97.96,97.93,97.68,97.52,97.31,97.34,97.43,97.43,96.65,98.20,98.34,98.11,98.20,98.20,98.20,98.17,97.52,97.96,97.80,97.89,97.99,98.05,97.89,97.93,97.86,97.93,97.96,97.96,98.02,98.08,97.93,98.11,98.08,98.08,98.20,97.99,97.76,98.42,98.36,98.27,98.08,98.11,98.11,98.17,98.41,98.73,98.73,98.70,98.33,98.39,97.53,97.49,97.62,97.74,97.68,97.68,97.68,97.80,97.99,97.99,97.99,97.99,97.86,97.83,97.93,98.08,98.14,98.14,98.14,98.14,98.14,98.11,98.11,98.11,98.14,98.08,98.08,98.05,97.85,97.71,97.83,97.80,97.83,97.80,97.96,97.89,97.89,98.11,98.02,98.45,98.58,99.44,,98.73,99.07,95.60,94.67,94.74,94.52,94.49,94.49,94.82,94.97,95.33,94.61,94.92,94.64,94.67,96.44,95.05,94.77,94.98,94.92,94.71,94.83,94.67,94.46,94.43,94.52,94.46,94.46,94.58,94.64,94.80,95.14
B-KC443007,86.19,86.81,86.78,86.78,86.72,86.81,97.04,98.11,97.55,97.62,97.65,97.65,97.71,97.68,97.68,97.77,97.74,97.52,97.37,97.09,97.12,97.15,97.15,96.42,98.05,98.19,98.02,98.11,98.11,98.11,98.08,97.31,97.74,97.59,97.68,98.08,98.14,97.99,98.02,97.99,98.02,98.05,98.05,98.11,98.17,98.02,98.20,98.17,98.17,98.17,98.02,97.91,98.39,98.39,98.30,98.17,98.20,98.20,98.27,98.45,98.82,98.82,98.79,98.42,98.48,97.62,97.59,97.77,97.89,97.83,97.83,97.83,97.89,98.05,97.93,97.93,97.93,97.96,97.93,98.02,98.24,98.30,98.24,98.24,98.30,98.24,98.20,98.20,98.20,98.24,98.17,98.17,98.14,97.91,97.80,97.93,97.89,97.93,97.89,98.05,97.99,97.99,98.20,98.11,98.36,98.42,98.17,98.73,,99.13,95.39,94.71,94.64,94.43,94.46,94.46,94.79,95.00,95.29,94.71,94.89,94.61,94.64,96.28,94.89,94.67,94.83,94.83,94.64,94.67,94.52,94.30,94.27,94.37,94.30,94.30,94.55,94.67,94.71,95.05
B-KR705201,86.47,86.75,86.72,86.72,86.66,86.75,97.44,98.45,97.86,97.93,97.96,97.96,98.02,97.99,97.99,98.08,98.05,97.80,97.65,97.43,97.46,97.43,97.43,96.74,98.27,98.41,98.17,98.27,98.27,98.27,98.24,97.52,98.08,97.93,98.02,98.39,98.45,98.30,98.33,98.27,98.33,98.36,98.36,98.42,98.48,98.33,98.51,98.48,98.48,98.48,98.33,98.16,98.64,98.64,98.61,98.48,98.51,98.51,98.58,98.96,99.13,99.13,99.10,98.73,98.79,98.00,97.89,98.02,98.20,98.14,98.14,98.14,98.20,98.42,98.30,98.30,98.30,98.27,98.24,98.33,98.48,98.54,98.54,98.54,98.54,98.54,98.51,98.51,98.51,98.54,98.48,98.48,98.45,98.19,98.11,98.24,98.20,98.24,98.20,98.36,98.30,98.30,98.51,98.42,98.58,98.70,98.51,99.07,99.13,,95.73,94.86,94.86,94.64,94.67,94.67,95.01,95.15,95.51,94.86,95.11,94.83,94.86,96.50,95.11,94.83,94.98,94.98,94.77,94.89,94.67,94.46,94.43,94.52,94.46,94.46,94.77,94.83,94.92,95.26
C-KJ721719,86.41,86.81,86.78,86.78,86.78,86.87,94.66,95.57,95.11,95.08,95.11,95.11,95.17,95.14,95.14,95.23,95.20,95.23,95.26,94.67,94.77,94.58,94.58,94.02,95.45,95.50,95.39,95.42,95.42,95.42,95.39,94.80,95.36,95.20,95.23,94.86,94.92,94.83,94.86,94.92,94.98,95.02,94.95,94.95,95.02,94.86,95.05,95.02,95.02,95.20,94.86,94.44,94.98,94.98,94.89,94.89,94.80,94.86,94.86,95.20,95.42,95.42,95.39,95.20,95.26,94.62,94.71,94.80,94.92,94.86,94.86,94.86,94.92,94.92,94.80,94.80,94.86,94.98,94.95,94.95,95.17,95.14,95.08,95.08,95.14,95.08,95.05,95.05,95.05,95.08,95.14,95.14,95.11,94.97,94.80,94.95,94.98,94.89,94.86,95.02,95.02,95.02,95.17,95.14,95.23,95.42,95.05,95.60,95.39,95.73,,95.45,95.39,95.20,95.17,95.17,95.47,95.65,96.07,95.29,95.57,95.29,95.33,95.94,95.73,95.60,95.79,95.79,95.57,95.88,95.51,95.42,95.45,95.42,95.42,95.42,95.57,95.57,95.73,96.13
C-LC105580,86.16,86.32,86.28,86.28,86.28,86.32,94.22,94.83,94.58,94.58,94.61,94.61,94.67,94.64,94.64,94.49,94.46,94.24,94.15,93.99,94.15,93.93,93.93,93.37,94.55,94.78,94.74,94.77,94.77,94.77,94.74,94.21,94.64,94.52,94.55,94.02,94.09,93.93,93.96,94.09,94.15,94.18,93.99,94.06,94.12,94.02,94.15,94.12,94.12,94.24,94.15,93.95,94.33,94.40,94.30,94.24,94.21,94.27,94.27,94.32,94.61,94.61,94.58,94.49,94.55,93.97,93.87,94.02,94.09,94.02,94.09,94.02,94.15,94.21,94.21,94.21,94.27,94.15,94.12,94.12,94.37,94.37,94.43,94.49,94.49,94.43,94.40,94.40,94.40,94.43,94.24,94.24,94.21,94.23,93.99,94.12,94.09,94.12,94.09,94.24,94.24,94.24,94.40,94.30,94.55,94.61,94.24,94.67,94.71,94.86,95.45,,99.38,99.01,99.04,99.04,98.17,98.39,98.73,97.99,98.30,98.02,98.05,97.15,97.52,97.43,97.59,97.59,97.52,97.65,97.40,97.24,97.28,97.24,97.24,97.24,97.83,97.83,97.65,97.93
C-MN479107,86.35,86.41,86.38,86.38,86.38,86.41,94.15,94.77,94.52,94.52,94.55,94.55,94.61,94.58,94.58,94.49,94.46,94.27,94.18,93.99,94.15,93.90,93.90,93.31,94.49,94.72,94.67,94.71,94.71,94.71,94.67,94.15,94.58,94.46,94.49,94.09,94.15,93.99,94.02,94.09,94.15,94.18,94.06,94.12,94.18,94.12,94.21,94.18,94.18,94.30,94.21,94.01,94.46,94.52,94.37,94.30,94.27,94.37,94.33,94.38,94.67,94.67,94.64,94.55,94.61,93.97,93.93,94.02,94.15,94.09,94.15,94.09,94.21,94.21,94.21,94.21,94.27,94.21,94.18,94.18,94.43,94.43,94.49,94.55,94.55,94.49,94.46,94.46,94.46,94.49,94.30,94.30,94.27,94.35,94.02,94.18,94.15,94.18,94.15,94.30,94.30,94.30,94.46,94.37,94.58,94.55,94.37,94.74,94.64,94.86,95.39,99.38,,99.57,99.60,99.60,98.04,98.36,98.67,97.99,98.30,98.02,98.05,97.15,97.52,97.49,97.71,97.68,97.52,97.65,97.40,97.24,97.21,97.24,97.24,97.24,97.80,97.80,97.65,97.93
